"","ca","cl","k","mg","sodium","p","ferritin","hb","hct","iron","mch","mchc","rbc","rdw","alb","alkp","alt","ast","ggt","ldh","tot_prot","uric_ac","baso_p","lympho_p","mono_p","neut_p","wbc","trig","hdl","ldl","chol","chol_hdl","vitb12","folate","vita","g_toco","b_cryp","a_carot","vitd_tot"
"tot_prot",0.345751579711062,-0.188933146298273,0.0283989123426942,0.0141610937268989,0.0318478913963169,-0.0523670520255882,0.166354266533817,0.21006605511913,0.239458683958449,0.0718221615085142,-0.0965266541980836,-0.0668766124798522,0.276349008057015,-0.0412383341024191,0.568584354049435,0.0196275279173301,0.139711294904992,0.204637886930432,0.19160666175155,0.0573535191396974,1,0.161607128194643,0.00304268460379355,0.162922347535534,0.0900604823899545,-0.178097957904388,-0.0863470059183544,-0.0446195606558902,-0.0726043091763914,0.0805233937055596,0.00992981447506536,0.0982512012846372,0.149706079844213,0.0189636051434918,0.026044302823119,-0.0554933603458491,-0.00619786732736786,0.051041784625495,-0.104311085482149
"uric_ac",0.111203249666987,-0.0820304842030491,0.125774955290856,-0.0542108503006682,0.108310360327673,-0.113416044244232,0.33051243995642,0.192004124117685,0.200577026363534,0.0526187924026362,-0.00717526420902565,-0.00174159683749511,0.198158085337466,0.111625820528289,0.138103023141241,0.148634337596284,0.148776148628569,0.13401721283556,0.338657530192677,0.102654671648479,0.161607128194643,1,-0.00666286600022019,0.0104946817174924,0.0984562419529003,-0.0667234989621041,0.0253647239707467,0.237430143955702,-0.302168486462466,0.0754123237497762,0.0418260438223307,0.246981975085322,0.000781726004458246,-0.0280304810435723,0.187750640644155,0.136197977369684,-0.0951525672501938,-0.148416646010861,-0.0960897165991262
"baso_p",-0.00712103098861934,-0.0633950234944226,-0.010139501193362,0.0109186304759931,-0.091142783945096,0.026219982433955,-0.0522014256223724,-0.0449912163015193,-0.0396898261801031,-0.00596994083319074,-0.0313084932778236,-0.0294746642614549,-0.0242806063138793,-0.0388981007032023,-0.0158731533408499,-0.0485828725083542,-0.00313727016233112,0.00833989755408994,-0.0134044198937357,-0.113252842835964,0.00304268460379355,-0.00666286600022019,1,0.0776674671592986,0.0712133724425688,-0.154800815721016,-0.0861115121415113,0.0177016980800274,0.0139282096781566,-0.00146990234241151,0.0199268575357281,0.0675726401661637,0.0496855270223346,0.155171449300477,0.180746026573731,0.126544965658298,-0.00198811609456217,0.143165123981263,-0.0212336815887051
"lympho_p",0.103457291342684,0.0851623507523432,0.00884969514458337,-0.0339207527398337,0.156998123253209,0.0103025831790322,0.0671674942671671,0.0160518471839661,0.0381006128686694,0.0611247069031723,-0.0688145752046703,-0.0907567630690639,0.0539062526880129,-0.0021468268311817,0.16354009893683,-0.0508456962244131,0.106086220497812,0.0956980482873786,0.0901871936622369,0.130638127176046,0.162922347535534,0.0104946817174924,0.0776674671592986,1,0.0655028847206224,-0.936737502002116,-0.353295064149137,-0.100894702821778,-0.00864104028480311,0.0557024326122472,0.0191297089373939,0.0450312908212362,0.0405134643439439,-0.114241251901439,-0.0865320055985305,-0.026909124275884,0.0271303976022247,-0.0735091442765707,-0.13912757379651
"mono_p",0.0302731484692224,-0.142035618123269,0.00687930607087167,0.03130198719519,-0.0402846778170631,-0.021885150696893,0.0799732442042236,0.0921990687057162,0.102181686846154,0.119531779398901,0.0187369390780996,-0.0435015782032895,0.0708033873100715,-0.0275129103857489,0.0679531416211258,-0.0716600300707616,0.208257485477144,0.273008518327916,0.108055870277479,0.0650185507295712,0.0900604823899545,0.0984562419529003,0.0712133724425688,0.0655028847206224,1,-0.290438089438666,-0.194618510944917,-0.106239525790524,-0.00106399328607356,-0.114716291963751,-0.13756121493631,-0.0572450880622678,0.0639834987819365,0.271455313312371,0.26050988600907,0.0780377941490269,-0.0441196196860479,0.278265745926881,0.0294184025061094
"neut_p",-0.0948280094167066,-0.0317405880393145,-0.0278989455070006,0.0283922839665801,-0.140273263595958,-0.00230357394376724,-0.0949520096721782,-0.0391409135550711,-0.0650316697125935,-0.0834925515140612,0.0595766526562484,0.105008119965321,-0.0695443277159057,-0.000795670830133855,-0.169017192349083,0.0610938772718994,-0.165282563546784,-0.16763910596752,-0.131308335140131,-0.136991405485444,-0.178097957904388,-0.0667234989621041,-0.154800815721016,-0.936737502002116,-0.290438089438666,1,0.407233157212128,0.130925729976207,0.0219925648273941,-0.0167680408654522,0.028481588565735,-0.0325995757362721,-0.0604315043178993,0.0338327600859929,-0.0039084148287853,-0.00295441369750367,-0.00665406041900149,0.00115597281478645,0.122593200373118
"wbc",-0.0245306703380871,-0.0782012815398097,-0.0550398999354318,-0.00444992865851726,-0.191456767207264,0.127799009401333,-0.0493165270569728,0.0378159089710076,0.0218873685103049,-0.0810416679022257,0.00247107618362936,0.0457524862050272,0.0280261627119025,-0.00278816901552178,-0.176039035599697,0.0695000191433156,-0.0633056385767101,-0.117750767129386,-0.0252511610946279,-0.194481826013129,-0.0863470059183544,0.0253647239707467,-0.0861115121415113,-0.353295064149137,-0.194618510944917,0.407233157212128,1,0.283751559555051,-0.102617669062567,-0.01248811766119,0.0352204129336255,0.163403782060235,-0.0401869310902168,0.118950578586286,0.089250932163391,0.0972651442292444,-0.0713172977542925,0.103607676235833,0.0925061218572898
"trig",0.016275770262807,-0.0758673516879074,0.00351601837355758,-0.0163083096028524,-0.0928589850572023,0.0177062043186399,0.110189876132128,0.0942522099874696,0.0736884634065684,0.0299700245064495,0.0549947827378511,0.0971063830366183,0.0604315088753512,-0.0324845699534439,-0.106840707410832,0.15520596193204,0.00394227615149634,-0.06021415707248,0.163963848168399,-0.0994967524701112,-0.0446195606558902,0.237430143955702,0.0177016980800274,-0.100894702821778,-0.106239525790524,0.130925729976207,0.283751559555051,1,-0.380415324964698,0.218702142621583,0.372045235895147,0.616435401153402,-0.0775200217952597,0.0531383190313978,0.161548871264833,0.208378494687486,0.0113508065095683,-0.0580251853979782,0.0865141952233658
"hdl",0.050000504544614,-0.0458992085218338,-0.0584802841948514,0.0204801097143817,-0.0176292469227556,0.142223129928648,-0.172094143018311,-0.173545152983665,-0.174567804919077,0.0866758924050096,0.0864645272440187,-0.0275048937599548,-0.234591607279563,-0.0124947324411911,-0.0479672930211826,-0.0934899997413681,-0.100531471919534,0.0276806665000935,-0.157645426010327,0.0681857514682488,-0.0726043091763914,-0.302168486462466,0.0139282096781566,-0.00864104028480311,-0.00106399328607356,0.0219925648273941,-0.102617669062567,-0.380415324964698,1,-0.0534975733933205,0.212263889277604,-0.70238064704039,0.0291686371713025,0.0421852798733287,-0.0546118258531157,-0.108721598099482,0.161885306580617,0.0683179240748346,0.147678762207158
"ldl",0.113491470777355,0.0162399937911257,0.103738243210267,0.0452247206776231,0.0937540258043553,-0.0247949132830657,0.0931206280308691,0.113961905688649,0.116359007179968,0.0182231206666769,0.0183626985079309,0.0190613780504055,0.101686613189484,-0.00209620655612921,0.0892598864994326,0.0857935460966714,-0.00538377653626424,-0.0400491317299795,0.0489275774008403,0.0926606753343996,0.0805233937055596,0.0754123237497762,-0.00146990234241151,0.0557024326122472,-0.114716291963751,-0.0167680408654522,-0.01248811766119,0.218702142621583,-0.0534975733933205,1,0.887539235067621,NA,0.011620645681924,-0.153446632064176,-0.124179310637358,0.0413435478738641,0.175681105606074,-0.129742439824166,0.0557801635351802
"chol",0.116833189310205,-0.0505296068774469,0.0696572524985322,0.0275609976646872,0.0251150198083789,0.0484389269410885,0.0468812020681908,0.0225996281471575,0.0184351907317904,0.0417939802986784,0.059688487717696,0.0274316993223114,-0.0177745525581627,0.00927163889996694,0.0150972086247134,0.108544209596339,-0.0824250149780048,-0.0812648743594343,0.0404601874556816,0.0615598234426185,0.00992981447506536,0.0418260438223307,0.0199268575357281,0.0191297089373939,-0.13756121493631,0.028481588565735,0.0352204129336255,0.372045235895147,0.212263889277604,0.887539235067621,1,0.507435246796829,-0.00373738645192152,-0.100789799337745,-0.0132743014429443,0.153850763275637,0.231800464896079,-0.13874200961613,0.0974760880681262
"chol_hdl",0.0626340158179806,0.0419000631691924,0.0417867815617927,0.0329823047152891,-0.0201425585632793,NA,0.0356401014246965,0.0345117689096629,0.0408120097873761,-0.066135431865867,-0.115806859118463,-0.0161951996977525,0.106299898295585,-0.00475595030370768,-0.0182275489453696,0.102880402423404,0.0265025568226212,-0.193382086549689,0.0898148141735589,-0.0340606990441681,0.0982512012846372,0.246981975085322,0.0675726401661637,0.0450312908212362,-0.0572450880622678,-0.0325995757362721,0.163403782060235,0.616435401153402,-0.70238064704039,NA,0.507435246796829,1,-0.0505132158589427,-0.0233042246679353,0.0950091335419323,0.148496763043326,0.0603851307077768,-0.00376713970703905,0.0513388041526348
"vitb12",0.0842278982474213,-0.117808551201882,0.0148281266210489,0.0243776874309831,-0.064928395508757,0.020437728075591,0.0885486811575538,0.0277467004085525,0.0372463959935188,0.011543237786909,-0.040000132302639,-0.0273209837276136,0.0553465242994749,-0.0285113825322322,0.0989920464003159,-0.0174675027987585,0.147375362154617,0.143835449455955,0.103834557819815,-0.0323309279018635,0.149706079844213,0.000781726004458246,0.0496855270223346,0.0405134643439439,0.0639834987819365,-0.0604315043178993,-0.0401869310902168,-0.0775200217952597,0.0291686371713025,0.011620645681924,-0.00373738645192152,-0.0505132158589427,1,0.211638015674066,0.106766606637569,-0.0720032727477875,0.125429366117587,0.136965027531353,0.0842801706079125
"folate",-0.0401613691704636,-0.334193660903525,-0.176599536566394,0.00878047483538438,-0.40728436974934,0.0282222434467477,-0.101222516099908,0.0372846215943225,0.0244008535695475,0.101665619658464,0.0248729713549853,0.0525808012399,0.0230552658706176,-0.296726672301747,-0.132307751438912,-0.243586076118888,0.16515039639329,0.152851132973712,-0.0835828542216409,-0.550065504858574,0.0189636051434918,-0.0280304810435723,0.155171449300477,-0.114241251901439,0.271455313312371,0.0338327600859929,0.118950578586286,0.0531383190313978,0.0421852798733287,-0.153446632064176,-0.100789799337745,-0.0233042246679353,0.211638015674066,1,0.65072104870696,0.219688386274719,0.0859265427460444,0.728780721200658,0.257624030252337
